"steps","distance"
13760,11.7233
10770,7.6055
13452,9.37489
7765,5.6355
6534,5.2891
6022,4.37799
4921,3.57756
12888,9.36957
5995,4.18925
4062,2.92533
9568,6.91377
9405,6.82943
10976,6.35833
4800,3.4896
4382,3.18571
10499,7.63204
8463,6.1526
4984,3.62336
5551,4.03557
6933,5.04029
7505,5.45451
28514,13.44241
4556,3.28358
1112,0.80842
5625,4.08937
2056,1.49471
14928,10.85265
1299,0.94437
4736,3.44307
7184,5.22276
3286,2.38892
5103,3.70988
6409,4.62153
14431,10.54357
12124,8.78797
6005,4.36563
4979,3.61973
17095,12.36627
18326,13.23503
16960,12.32992
25564,19.1716
11202,8.1155
11462,8.32196
12631,9.18273
13604,9.8603
19786,14.36915
12256,8.89557
5715,4.1548
15051,10.94062
5305,3.85673
7375,5.36162
17520,12.73704
6687,4.86144
9075,6.59752
17085,12.35173
12760,9.18055
8607,6.25728
7039,5.11008
23162,16.83223
12556,9.12821
11012,7.99772
13005,9.39284
6000,4.33946
8280,5.96212
4997,3.63281
9892,7.19148
9784,7.11224
10421,7.57606
6167,4.4834
4311,3.13409
14980,10.89046
5004,3.6379
5088,3.69897
12471,9.02934
13988,10.15909
13938,10.06386
8943,6.46884
10572,7.66621
5270,3.83129
4074,2.96179
6239,4.42234
7905,5.66187
4371,3.17771
9811,7.09988
4580,3.32966
7039,5.11735
6346,4.48849
6462,4.69787
5136,3.73387
7116,5.17333
3942,2.86583
17676,12.71377
7542,5.48158
11420,8.23472
8069,5.7273
10087,7.31943
5739,4.17225
18280,13.28956
4725,3.43507
10669,7.75636
6891,5.00975
17224,12.48767
107,0.07778
9314,6.7644
4556,3.3055
8541,6.1989
3937,2.8528
8429,6.1199
6965,5.0551
4773,3.4377
5541,4.0208
12534,9.0787
13926,10.0865
2957,2.1441
7106,5.147
7894,5.7305
6916,5.02793
6659,4.82728
12948,9.41319
11044,8.02898
7225,5.25257
11835,8.60404
19483,14.16268
17409,12.65634
12090,8.75744
16220,11.79194
14684,10.65127
7298,5.30564
15761,11.45097
17494,12.68106
15700,11.40372
13372,9.7069
14910,10.82575
10440,7.58988
8362,6.07917
9893,7.19221
7167,5.2104
9812,7.12968
4410,3.20534
13402,9.74325
8394,6.10243
10980,7.98246
12905,9.38193
13951,10.05077
15961,11.60364
16066,11.67998
6980,5.07446
8763,6.3707
5251,3.80368
7050,5.12535
7655,5.56518
9278,6.73129
4900,3.5623
3697,2.68771
22151,16.10377
7602,5.52538
7931,5.75057
6130,4.45651
2730,1.98471
3595,2.61356
5213,3.78985
8597,6.25001
2909,2.11484
5434,3.95051
5796,4.21369
6408,4.65861
10146,7.37614
27720,20.02302
21020,15.23501
26241,19.0772
19559,14.16936
5092,3.70188
14710,10.67163
18822,13.63924
13273,9.64947
17473,12.65198
15606,11.32447
14949,10.63746
17322,12.54874
20956,15.13832
11141,8.05443
18821,13.58108
14399,10.45113
15597,11.33901
7178,5.2184
12054,8.81211
18048,13.12089
21031,15.25973
14978,10.87882
19374,14.06549
13282,9.62111
9590,6.93703
13399,9.72435
16811,12.17506
21949,15.92784
22253,16.17793
288,0.20937
228,0.16575
